"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((103.0000000000000000 -8.0000000000000000, 103.0000000000000000 -7.0000000000000000, 104.0000000000000000 -7.0000000000000000, 104.0000000000000000 -8.0000000000000000, 103.0000000000000000 -8.0000000000000000))","2013-06-01","2013-06-30","W",32.908,0.166237282655917,810.849,0.283601294945711,1
"POLYGON ((-11.0000000000000000 0.0000000000000000, -11.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000, -10.0000000000000000 0.0000000000000000, -11.0000000000000000 0.0000000000000000))","2012-03-01","2012-03-31","W",77.707,0.392542862627426,1554.147,0.543576056375467,1
"POLYGON ((-11.0000000000000000 0.0000000000000000, -11.0000000000000000 1.0000000000000000, -10.0000000000000000 1.0000000000000000, -10.0000000000000000 0.0000000000000000, -11.0000000000000000 0.0000000000000000))","2012-08-01","2012-08-31","W",112.812,0.569878459067075,2256.238,0.789138321075465,1
"POLYGON ((-11.0000000000000000 1.0000000000000000, -11.0000000000000000 2.0000000000000000, -10.0000000000000000 2.0000000000000000, -10.0000000000000000 1.0000000000000000, -11.0000000000000000 1.0000000000000000))","2011-10-01","2011-10-31","W",0,0,197.752,0.0691654343510372,1
"POLYGON ((-11.0000000000000000 1.0000000000000000, -11.0000000000000000 2.0000000000000000, -10.0000000000000000 2.0000000000000000, -10.0000000000000000 1.0000000000000000, -11.0000000000000000 1.0000000000000000))","2012-03-01","2012-03-31","W",47.866,0.24179876539468,957.318,0.334830066356174,1
"POLYGON ((-11.0000000000000000 2.0000000000000000, -11.0000000000000000 3.0000000000000000, -10.0000000000000000 3.0000000000000000, -10.0000000000000000 2.0000000000000000, -11.0000000000000000 2.0000000000000000))","2011-10-01","2011-10-31","W",18.821,0.0950757231331899,333.175,0.116530773847581,1
"POLYGON ((11.0000000000000000 -21.0000000000000000, 11.0000000000000000 -20.0000000000000000, 12.0000000000000000 -20.0000000000000000, 12.0000000000000000 -21.0000000000000000, 11.0000000000000000 -21.0000000000000000))","2009-06-01","2009-06-30","B",0,0,40.201,0.0140606397222078,1
"POLYGON ((11.0000000000000000 -22.0000000000000000, 11.0000000000000000 -21.0000000000000000, 12.0000000000000000 -21.0000000000000000, 12.0000000000000000 -22.0000000000000000, 11.0000000000000000 -22.0000000000000000))","2009-06-01","2009-06-30","B",73.676,0.372179957364694,1587.831,0.555357320234646,1
"POLYGON ((-11.0000000000000000 -3.0000000000000000, -11.0000000000000000 -2.0000000000000000, -10.0000000000000000 -2.0000000000000000, -10.0000000000000000 -3.0000000000000000, -11.0000000000000000 -3.0000000000000000))","2010-02-01","2010-02-28","W",62.503,0.315738692045787,1404.57,0.491260235681238,1
"POLYGON ((-11.0000000000000000 4.0000000000000000, -11.0000000000000000 5.0000000000000000, -10.0000000000000000 5.0000000000000000, -10.0000000000000000 4.0000000000000000, -11.0000000000000000 4.0000000000000000))","2011-02-01","2011-02-28","W",0,0,111.468,0.0389868756636667,1
