"geom_wkt","time_start","time_end","fad_class","distance","ndistance","surface","nsurface","number_of_trajectories"
"POLYGON ((-6.0000000000000000 3.0000000000000000, -6.0000000000000000 4.0000000000000000, -5.0000000000000000 4.0000000000000000, -5.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000))","2010-04-01","2010-04-30","W",117.713,0.175180667666738,2351.254,0.192069417005895,1
"POLYGON ((-6.0000000000000000 -4.0000000000000000, -6.0000000000000000 -3.0000000000000000, -5.0000000000000000 -3.0000000000000000, -5.0000000000000000 -4.0000000000000000, -6.0000000000000000 -4.0000000000000000))","2009-03-01","2009-03-31","B",202.618,0.301536419268043,4304.488,0.351627856595305,2
"POLYGON ((-6.0000000000000000 -4.0000000000000000, -6.0000000000000000 -3.0000000000000000, -5.0000000000000000 -3.0000000000000000, -5.0000000000000000 -4.0000000000000000, -6.0000000000000000 -4.0000000000000000))","2009-03-01","2009-03-31","W",35.848,0.0533490487415768,1025.994,0.0838097729231787,2
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2009-02-01","2009-02-28","W",0,0,50.145,0.00409329055860493,1
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2009-03-01","2009-03-31","B",457.954,0.681527847227183,9244.534,0.755177063326247,5
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2009-04-01","2009-04-30","B",242.722,0.361219253756221,4854.424,0.396551777658548,2
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2009-07-01","2009-07-31","W",339.354,0.505027144796057,6788.295,0.55452846612865,3
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2009-12-01","2009-12-31","W",203.986,0.303572278972308,4199.63,0.343062073458996,2
"POLYGON ((-6.0000000000000000 4.0000000000000000, -6.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 4.0000000000000000, -6.0000000000000000 4.0000000000000000))","2010-08-01","2010-08-31","W",116.833,0.173871050313118,2336.628,0.190874628395092,1
"POLYGON ((-6.0000000000000000 5.0000000000000000, -6.0000000000000000 6.0000000000000000, -5.0000000000000000 6.0000000000000000, -5.0000000000000000 5.0000000000000000, -6.0000000000000000 5.0000000000000000))","2009-03-01","2009-03-31","B",0,0,80.488,0.00657199087431798,2
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2009-02-01","2009-02-28","W",88.529,0.13174899397576,1765.621,0.144229430781989,1
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2009-08-01","2009-08-31","W",0,0,52.91,0.00431916164494928,1
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2009-09-01","2009-09-30","W",50.412,0.075023215943996,931.364,0.0760795085829379,1
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2009-11-01","2009-11-30","W",0,0,49.454,0.00403684320935938,1
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2010-02-01","2010-02-28","W",0,0,49.223,0.00401797296670276,1
"POLYGON ((-7.0000000000000000 0.0000000000000000, -7.0000000000000000 1.0000000000000000, -6.0000000000000000 1.0000000000000000, -6.0000000000000000 0.0000000000000000, -7.0000000000000000 0.0000000000000000))","2010-03-01","2010-03-31","W",115.874,0.172443865037979,2315.355,0.189136850594078,1
"POLYGON ((-7.0000000000000000 -1.0000000000000000, -7.0000000000000000 0.0000000000000000, -6.0000000000000000 0.0000000000000000, -6.0000000000000000 -1.0000000000000000, -7.0000000000000000 -1.0000000000000000))","2009-02-01","2009-02-28","W",53.457,0.0795547896278306,1071.856,0.0875562104500953,1
"POLYGON ((-7.0000000000000000 -1.0000000000000000, -7.0000000000000000 0.0000000000000000, -6.0000000000000000 0.0000000000000000, -6.0000000000000000 -1.0000000000000000, -7.0000000000000000 -1.0000000000000000))","2009-10-01","2009-10-31","W",156.929,0.23354197918899,3052.497,0.249353510387946,1
"POLYGON ((-7.0000000000000000 -1.0000000000000000, -7.0000000000000000 0.0000000000000000, -6.0000000000000000 0.0000000000000000, -6.0000000000000000 -1.0000000000000000, -7.0000000000000000 -1.0000000000000000))","2009-11-01","2009-11-30","W",119.562,0.177932352310879,2363.2,0.193045278126138,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2008-05-01","2008-05-31","B",36.045,0.0536422244446032,720.908,0.058887492182328,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2008-11-01","2008-11-30","W",3.737,0.0055614091482725,164.305,0.0134189481416324,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2009-08-01","2009-08-31","W",108.869,0.162019013262852,2278.593,0.186133786262725,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2009-09-01","2009-09-30","W",81.299,0.120989296854537,1672.214,0.136599072531658,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2010-02-01","2010-02-28","W",150.615,0.224145474676763,2937.044,0.239922228459659,1
"POLYGON ((-7.0000000000000000 1.0000000000000000, -7.0000000000000000 2.0000000000000000, -6.0000000000000000 2.0000000000000000, -6.0000000000000000 1.0000000000000000, -7.0000000000000000 1.0000000000000000))","2010-05-01","2010-05-31","W",21.739,0.0323520132390409,496.229,0.0405336079838608,1
"POLYGON ((-7.0000000000000000 -2.0000000000000000, -7.0000000000000000 -1.0000000000000000, -6.0000000000000000 -1.0000000000000000, -6.0000000000000000 -2.0000000000000000, -7.0000000000000000 -2.0000000000000000))","2009-10-01","2009-10-31","W",148.757,0.221380396218778,2962.414,0.241994687577401,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2008-05-01","2008-05-31","B",107.778,0.16039538538467,2155.561,0.176083380658704,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2008-11-01","2008-11-30","W",77.807,0.115792497083125,1310.202,0.107026543161065,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2009-02-01","2009-02-28","W",0,0,10.102,0.000822203430038289,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2009-06-01","2009-06-30","W",327.939,0.488039324237446,6890.316,0.56286249654454,3
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2009-10-01","2009-10-31","B",226.904,0.337678881824892,3865.748,0.315787465845678,2
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2009-11-01","2009-11-30","W",28.409,0.042278317498869,722.69,0.0590330626256791,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2009-12-01","2009-12-31","W",43.022,0.0640254065766602,675.621,0.0551880260386476,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2010-02-01","2010-02-28","W",0,0,190.869,0.0155889443577811,1
"POLYGON ((-7.0000000000000000 2.0000000000000000, -7.0000000000000000 3.0000000000000000, -6.0000000000000000 3.0000000000000000, -6.0000000000000000 2.0000000000000000, -7.0000000000000000 2.0000000000000000))","2010-03-01","2010-03-31","W",213.067,0.317086637140748,4139.361,0.338138737291586,1
