"fad_class","time_start","time_end","geom_wkt","number_of_days","number_of_fad"
"W",2009-05-01,2009-05-31,"POLYGON ((75.0000000000000000 0.0000000000000000, 75.0000000000000000 5.0000000000000000, 80.0000000000000000 5.0000000000000000, 80.0000000000000000 0.0000000000000000, 75.0000000000000000 0.0000000000000000))",1,1
"W",2009-05-01,2009-05-31,"POLYGON ((75.0000000000000000 -5.0000000000000000, 75.0000000000000000 0.0000000000000000, 80.0000000000000000 0.0000000000000000, 80.0000000000000000 -5.0000000000000000, 75.0000000000000000 -5.0000000000000000))",1,1
"W",2009-05-01,2009-05-31,"POLYGON ((85.0000000000000000 0.0000000000000000, 85.0000000000000000 5.0000000000000000, 90.0000000000000000 5.0000000000000000, 90.0000000000000000 0.0000000000000000, 85.0000000000000000 0.0000000000000000))",1,1
"W",2009-05-01,2009-05-31,"POLYGON ((90.0000000000000000 0.0000000000000000, 90.0000000000000000 5.0000000000000000, 95.0000000000000000 5.0000000000000000, 95.0000000000000000 0.0000000000000000, 90.0000000000000000 0.0000000000000000))",1,1
"W",2009-05-01,2009-05-31,"POLYGON ((90.0000000000000000 -15.0000000000000000, 90.0000000000000000 -10.0000000000000000, 95.0000000000000000 -10.0000000000000000, 95.0000000000000000 -15.0000000000000000, 90.0000000000000000 -15.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((-10.0000000000000000 0.0000000000000000, -10.0000000000000000 5.0000000000000000, -5.0000000000000000 5.0000000000000000, -5.0000000000000000 0.0000000000000000, -10.0000000000000000 0.0000000000000000))",1,2
"W",2009-06-01,2009-06-30,"POLYGON ((-20.0000000000000000 5.0000000000000000, -20.0000000000000000 10.0000000000000000, -15.0000000000000000 10.0000000000000000, -15.0000000000000000 5.0000000000000000, -20.0000000000000000 5.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((40.0000000000000000 -15.0000000000000000, 40.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -15.0000000000000000, 40.0000000000000000 -15.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((45.0000000000000000 -10.0000000000000000, 45.0000000000000000 -5.0000000000000000, 50.0000000000000000 -5.0000000000000000, 50.0000000000000000 -10.0000000000000000, 45.0000000000000000 -10.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((45.0000000000000000 -25.0000000000000000, 45.0000000000000000 -20.0000000000000000, 50.0000000000000000 -20.0000000000000000, 50.0000000000000000 -25.0000000000000000, 45.0000000000000000 -25.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((45.0000000000000000 -5.0000000000000000, 45.0000000000000000 0.0000000000000000, 50.0000000000000000 0.0000000000000000, 50.0000000000000000 -5.0000000000000000, 45.0000000000000000 -5.0000000000000000))",1,2
"W",2009-06-01,2009-06-30,"POLYGON ((-5.0000000000000000 0.0000000000000000, -5.0000000000000000 5.0000000000000000, 0.0000000000000000 5.0000000000000000, 0.0000000000000000 0.0000000000000000, -5.0000000000000000 0.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((50.0000000000000000 -10.0000000000000000, 50.0000000000000000 -5.0000000000000000, 55.0000000000000000 -5.0000000000000000, 55.0000000000000000 -10.0000000000000000, 50.0000000000000000 -10.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((5.0000000000000000 -5.0000000000000000, 5.0000000000000000 0.0000000000000000, 10.0000000000000000 0.0000000000000000, 10.0000000000000000 -5.0000000000000000, 5.0000000000000000 -5.0000000000000000))",1,1
"W",2009-06-01,2009-06-30,"POLYGON ((55.0000000000000000 -10.0000000000000000, 55.0000000000000000 -5.0000000000000000, 60.0000000000000000 -5.0000000000000000, 60.0000000000000000 -10.0000000000000000, 55.0000000000000000 -10.0000000000000000))",1,2
