"fad_id","section_id","pos_id","date","lon_fad","lat_fad","fad_class"
14603,2,3418431,"2011-11-08 10:00:00",46.7843,-7.92883,"W"
14605,6,3530467,"2011-04-12 13:00:00",44.0692,-12.786,"W"
14621,5,3509534,"2011-02-19 23:00:00",50.9517,-5.5235,"W"
14624,11,3409854,"2011-08-18 18:00:00",51.7417,-4.20017,"W"
14639,4,3440054,"2011-03-22 03:00:00",38.536,-17.8763,"W"
14640,1,3530001,"2011-04-27 11:00:00",43.8477,-14.788,"B"
14640,8,3387232,"2011-09-06 16:00:00",48.743,-6.72383,"W"
14642,9,3446593,"2011-06-20 18:00:00",46.2192,-8.63767,"W"
14643,9,3464263,"2011-07-15 09:00:00",55.3852,-1.5855,"W"
14643,9,3536087,"2011-10-04 08:00:00",63.3935,4.6355,"W"
14646,3,3528969,"2011-04-07 06:00:00",43.3317,-3.10767,"W"
14647,3,3454535,"2011-07-03 15:00:00",51.5643,-6.67,"B"
14652,5,4294917,"2012-09-29 16:00:00",87.9108,4.44767,"W"
14653,16,4324173,"2013-01-14 05:00:00",58.4577,-7.65517,"W"
14658,2,3480821,"2011-05-18 05:00:00",44.5608,-9.1035,"W"
14659,9,4288072,"2012-05-30 16:00:00",44.0992,-4.2485,"W"
14668,1,3445366,"2011-06-11 06:00:00",52.2108,0.597167,"B"
14668,4,3407928,"2011-08-10 07:00:00",56.0227,12.3897,"W"
14669,4,3400900,"2011-08-07 23:00:00",54.3793,-7.001,"W"
14670,5,3525511,"2011-04-26 12:00:00",49.288,-12.2697,"B"
14673,2,3431836,"2011-03-01 17:00:00",50.3465,-6.89717,"W"
14675,8,4299199,"2012-02-02 00:00:00",43.96,-6.65933,"W"
14678,12,3441207,"2011-06-06 10:00:00",63.1522,-11.4018,"W"
14686,2,3799827,"2011-03-11 14:00:00",1.16383,-0.6655,"W"
14687,7,3832977,"2011-09-25 02:00:00",1.0305,2.23467,"W"
14688,10,3825110,"2011-09-21 05:00:00",-4.79667,-1.4325,"W"
14690,15,4258573,"2012-11-12 22:00:00",-15.226,7.50667,"W"
14704,2,3853482,"2011-08-06 21:00:00",-29.311,-3.02517,"W"
14705,1,3714213,"2011-04-03 23:00:00",-9.32133,-0.05,"W"
14707,4,3771660,"2011-10-16 01:00:00",2.67767,3.011,"W"
14718,2,3842325,"2011-07-07 08:00:00",1.34333,-2.37883,"W"
14719,7,4252066,"2012-02-11 05:00:00",-21.0052,-10.404,"W"
14721,1,3815782,"2011-03-16 23:00:00",2.0355,-3.68133,"W"
14723,2,3791445,"2011-02-22 19:00:00",9.9,-6.07417,"W"
14725,4,3861885,"2011-08-19 10:00:00",-9.69133,3.10333,"W"
14729,15,3829507,"2011-09-07 22:00:00",-4.013,5.28667,"B"
14737,4,3834538,"2011-07-26 03:00:00",-9.6525,-5.616,"W"
14738,15,4252766,"2012-06-05 04:00:00",-14.7102,1.75917,"W"
14738,15,4250620,"2012-11-26 04:00:00",-8.03083,0.700833,"W"
14742,4,3828342,"2011-09-28 02:00:00",6.07717,-6.30517,"W"
14746,1,3841091,"2011-07-25 02:00:00",7.055,-4.28183,"W"
14750,9,4261877,"2012-06-03 00:00:00",-22.1768,3.65083,"W"
14752,2,3781915,"2011-03-22 20:00:00",7.55933,-4.1055,"W"
14753,4,3765645,"2011-06-15 04:00:00",3.55333,-0.433833,"W"
14756,1,3769101,"2011-06-14 00:00:00",-20.2755,11.433,"W"
14761,1,3764141,"2011-06-12 02:00:00",-21.5227,-8.128,"W"
14764,2,3738235,"2011-05-02 02:00:00",-10.65,2.27217,"W"
14767,4,3757658,"2011-11-03 23:00:00",6.2885,0.572667,"W"
14775,4,3824362,"2011-09-13 11:00:00",-1.69,-3.95417,"W"
14776,7,3753626,"2011-11-07 15:00:00",-1.94583,0.0675,"W"
14779,2,4263578,"2012-01-14 15:00:00",-43.5883,3.04217,"W"
14787,2,3764901,"2011-06-17 23:00:00",3.58517,0.586667,"B"
14788,2,3717569,"2011-05-05 20:00:00",-0.798,-3.30517,"W"
14788,2,3773793,"2011-10-02 20:00:00",-37.448,-2.79433,"W"
14795,2,3722432,"2011-05-21 16:00:00",-10.085,3.22467,"W"
14795,8,3848013,"2011-12-04 23:00:00",-17.6468,-1.45917,"W"
14805,5,4257241,"2012-02-17 04:00:00",-13.5552,1.24,"W"
14807,13,3756847,"2011-11-05 03:00:00",7.3885,-0.607167,"W"
14809,8,3833279,"2011-07-16 21:00:00",-4.47167,-3.166,"W"
14818,10,4265669,"2012-01-06 21:00:00",-15.2227,0.693833,"W"
14820,1,3796709,"2011-03-06 21:00:00",-13.3738,6.83967,"B"
14822,2,3860297,"2011-08-04 04:00:00",-1.6585,-0.982667,"W"
14826,2,4265151,"2012-02-08 22:00:00",-17.4268,-4.461,"W"
14826,2,4263897,"2012-02-27 22:00:00",-20.821,-4.503,"W"
14831,10,3865270,"2011-08-29 20:00:00",1.38633,-7.00967,"W"
