"fad_id","section","fad_class","id_point","time","geom","lon","lat"
20,3,"W",79540,2009-03-15 12:00:00,"POINT(-3.67433 -3.54633)",-3.67433,-3.54633
20,4,"W",79540,2009-03-15 12:00:00,"POINT(-3.67433 -3.54633)",-3.67433,-3.54633
20,1,"W",147939,2008-12-07 12:00:00,"POINT(0.577167 -5.2835)",0.577167,-5.2835
20,5,"B",79705,2009-03-29 12:00:00,"POINT(-11.2125 6.26833)",-11.2125,6.26833
20,1,"W",147939,2008-12-07 12:00:00,"POINT(0.577167 -5.2835)",0.577167,-5.2835
20,4,"B",79705,2009-03-29 12:00:00,"POINT(-11.2125 6.26833)",-11.2125,6.26833
20,1,"W",147939,2008-12-07 12:00:00,"POINT(0.577167 -5.2835)",0.577167,-5.2835
20,5,"B",79705,2009-03-29 12:00:00,"POINT(-11.2125 6.26833)",-11.2125,6.26833
20,12,"W",120234,2009-07-10 12:00:00,"POINT(-8.54883 3.70583)",-8.54883,3.70583
20,15,"W",120234,2009-07-10 12:00:00,"POINT(-8.54883 3.70583)",-8.54883,3.70583
20,18,"W",120234,2009-07-10 12:00:00,"POINT(-8.54883 3.70583)",-8.54883,3.70583
20,12,"W",123192,2009-07-30 12:00:00,"POINT(2.73517 4.55467)",2.73517,4.55467
20,15,"W",123192,2009-07-30 12:00:00,"POINT(2.73517 4.55467)",2.73517,4.55467
20,18,"W",123192,2009-07-30 12:00:00,"POINT(2.73517 4.55467)",2.73517,4.55467
20,1,"W",148517,2008-12-24 12:00:00,"POINT(1.59667 -4.71)",1.59667,-4.71
20,4,"W",79266,2009-03-13 12:00:00,"POINT(-3.47017 -3.4905)",-3.47017,-3.4905
20,1,"W",148517,2008-12-24 12:00:00,"POINT(1.59667 -4.71)",1.59667,-4.71
20,3,"W",79266,2009-03-13 12:00:00,"POINT(-3.47017 -3.4905)",-3.47017,-3.4905
20,1,"W",148517,2008-12-24 12:00:00,"POINT(1.59667 -4.71)",1.59667,-4.71
20,4,"W",79266,2009-03-13 12:00:00,"POINT(-3.47017 -3.4905)",-3.47017,-3.4905
20,1,"W",148662,2008-12-04 12:00:00,"POINT(0.1605 -5.22383)",0.1605,-5.22383
20,1,"W",148662,2008-12-04 12:00:00,"POINT(0.1605 -5.22383)",0.1605,-5.22383
20,1,"W",148662,2008-12-04 12:00:00,"POINT(0.1605 -5.22383)",0.1605,-5.22383
20,1,"W",147631,2008-12-29 12:00:00,"POINT(1.76767 -5.08417)",1.76767,-5.08417
20,1,"W",147631,2008-12-29 12:00:00,"POINT(1.76767 -5.08417)",1.76767,-5.08417
20,1,"W",147631,2008-12-29 12:00:00,"POINT(1.76767 -5.08417)",1.76767,-5.08417
20,9,"W",102671,2009-06-07 12:00:00,"POINT(-0.3625 1.37167)",-0.3625,1.37167
20,12,"W",102671,2009-06-07 12:00:00,"POINT(-0.3625 1.37167)",-0.3625,1.37167
20,15,"W",102671,2009-06-07 12:00:00,"POINT(-0.3625 1.37167)",-0.3625,1.37167
20,4,"W",83410,2009-03-17 12:00:00,"POINT(-3.98583 -3.58833)",-3.98583,-3.58833
20,3,"W",83410,2009-03-17 12:00:00,"POINT(-3.98583 -3.58833)",-3.98583,-3.58833
20,4,"W",83410,2009-03-17 12:00:00,"POINT(-3.98583 -3.58833)",-3.98583,-3.58833
20,12,"W",120658,2009-07-22 12:00:00,"POINT(-0.242167 3.3625)",-0.242167,3.3625
20,15,"W",120658,2009-07-22 12:00:00,"POINT(-0.242167 3.3625)",-0.242167,3.3625
20,18,"W",120658,2009-07-22 12:00:00,"POINT(-0.242167 3.3625)",-0.242167,3.3625
20,1,"W",153439,2008-11-29 12:00:00,"POINT(-0.0313333 -4.47133)",-0.0313333,-4.47133
20,1,"W",153439,2008-11-29 12:00:00,"POINT(-0.0313333 -4.47133)",-0.0313333,-4.47133
